sample,role,read1,read2
A_13_6,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_6/A_13_6_MKDL250001049-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_6/A_13_6_MKDL250001049-1A_22LK2KLT4_L1_2.fq.gz
A_13_7,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_7/A_13_7_MKDL250001050-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_7/A_13_7_MKDL250001050-1A_22LK2KLT4_L1_2.fq.gz
A_13_8,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_8/A_13_8_MKDL250001051-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_8/A_13_8_MKDL250001051-1A_22LK2KLT4_L1_2.fq.gz
A_13_9,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_9/A_13_9_MKDL250001052-1A_22LK2KLT4_L2_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_13_9/A_13_9_MKDL250001052-1A_22LK2KLT4_L2_2.fq.gz
A_H_1,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_H_1/A_H_1_MKDL250001061-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_H_1/A_H_1_MKDL250001061-1A_22LK2KLT4_L1_2.fq.gz
A_H_2,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_H_2/A_H_2_MKDL250001062-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_H_2/A_H_2_MKDL250001062-1A_22LK2KLT4_L1_2.fq.gz
A_H_3,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_H_3/A_H_3_MKDL250001063-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_H_3/A_H_3_MKDL250001063-1A_22LK2KLT4_L1_2.fq.gz
A_T_1,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_T_1/A_T_1_MKDL250001064-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_T_1/A_T_1_MKDL250001064-1A_22LK2KLT4_L1_2.fq.gz
A_T_2,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_T_2/A_T_2_MKDL250001065-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_T_2/A_T_2_MKDL250001065-1A_22LK2KLT4_L1_2.fq.gz
A_T_3,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_T_3/A_T_3_MKDL250001066-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_T_3/A_T_3_MKDL250001066-1A_22LK2KLT4_L1_2.fq.gz
