sample,role,fastq_1
SRR2926188,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926188.fastq.gz
SRR2926191,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926191.fastq.gz
SRR2926195,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926195.fastq.gz
SRR2926197,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926197.fastq.gz
SRR2926198,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926198.fastq.gz
SRR2926200,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926200.fastq.gz
SRR2926202,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926202.fastq.gz
SRR2926204,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926204.fastq.gz
SRR2926206,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926206.fastq.gz
SRR2926208,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926208.fastq.gz
SRR2926211,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926211.fastq.gz
SRR2926217,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926217.fastq.gz
SRR2926222,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926222.fastq.gz
SRR2926225,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926225.fastq.gz
SRR2926227,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926227.fastq.gz
SRR2926229,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926229.fastq.gz
SRR2926230,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926230.fastq.gz
SRR2926235,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926235.fastq.gz
SRR2926237,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926237.fastq.gz
SRR2926239,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926239.fastq.gz
SRR2926241,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926241.fastq.gz
SRR2926243,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926243.fastq.gz
SRR2926245,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926245.fastq.gz
SRR2926247,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926247.fastq.gz
SRR2926249,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926249.fastq.gz
SRR2926253,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926253.fastq.gz
SRR2926255,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926255.fastq.gz
SRR2926256,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926256.fastq.gz
SRR2926258,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926258.fastq.gz
SRR2926260,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926260.fastq.gz
SRR2926262,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926262.fastq.gz
SRR2926263,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926263.fastq.gz
SRR2926265,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926265.fastq.gz
SRR2926267,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926267.fastq.gz
SRR2926269,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926269.fastq.gz
SRR2926270,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926270.fastq.gz
SRR2926274,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926274.fastq.gz
SRR2926276,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926276.fastq.gz
SRR2926277,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926277.fastq.gz
SRR2926284,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926284.fastq.gz
SRR2926287,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926287.fastq.gz
SRR2926293,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926293.fastq.gz
SRR2926296,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926296.fastq.gz
SRR2926297,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926297.fastq.gz
SRR2926303,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926303.fastq.gz
SRR2926304,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926304.fastq.gz
SRR2926311,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926311.fastq.gz
SRR2926313,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926313.fastq.gz
SRR2926315,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926315.fastq.gz
SRR2926321,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926321.fastq.gz
SRR2926327,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926327.fastq.gz
SRR2926330,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926330.fastq.gz
SRR2926333,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926333.fastq.gz
SRR2926338,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926338.fastq.gz
SRR2926339,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926339.fastq.gz
SRR2926343,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926343.fastq.gz
SRR2926346,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926346.fastq.gz
SRR2926352,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926352.fastq.gz
SRR2926354,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926354.fastq.gz
SRR2926358,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926358.fastq.gz
SRR2926360,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926360.fastq.gz
SRR2926363,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926363.fastq.gz
SRR2926368,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926368.fastq.gz
SRR2926370,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926370.fastq.gz
SRR2926372,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926372.fastq.gz
SRR2926378,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926378.fastq.gz
SRR2926380,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926380.fastq.gz
SRR2926385,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926385.fastq.gz
SRR2926386,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926386.fastq.gz
SRR2926389,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926389.fastq.gz
SRR2926393,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926393.fastq.gz
SRR2926395,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926395.fastq.gz
SRR2926396,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926396.fastq.gz
SRR2926398,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926398.fastq.gz
SRR2926400,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926400.fastq.gz
SRR2926402,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926402.fastq.gz
SRR2926404,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926404.fastq.gz
SRR2926407,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926407.fastq.gz
SRR2926408,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926408.fastq.gz
SRR2926412,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926412.fastq.gz
SRR2926414,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926414.fastq.gz
SRR2926415,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926415.fastq.gz
SRR2926417,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926417.fastq.gz
SRR2926427,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926427.fastq.gz
SRR2926429,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926429.fastq.gz
SRR2926431,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926431.fastq.gz
SRR2926435,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926435.fastq.gz
SRR2926436,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926436.fastq.gz
SRR2926439,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926439.fastq.gz
SRR2926444,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926444.fastq.gz
SRR2926451,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926451.fastq.gz
SRR2926455,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926455.fastq.gz
SRR2926457,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926457.fastq.gz
SRR2926459,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926459.fastq.gz
SRR2926461,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926461.fastq.gz
SRR2926462,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926462.fastq.gz
SRR2926465,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926465.fastq.gz
SRR2926473,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926473.fastq.gz
SRR2926478,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926478.fastq.gz
SRR2926480,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926480.fastq.gz
SRR2926482,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926482.fastq.gz
SRR2926487,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926487.fastq.gz
SRR2926491,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926491.fastq.gz
SRR2926498,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926498.fastq.gz
SRR2926499,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926499.fastq.gz
SRR2926501,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926501.fastq.gz
SRR2926505,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926505.fastq.gz
SRR2926508,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926508.fastq.gz
SRR2926512,tf,/mnt/ada/projects/spruce/nstreet/spruce_chromatin_dynamics/DAPseq_bartlett/fastq/SRR2926512.fastq.gz
