sample,role,fastq_1,fastq_2
DAL1_1,tf,/pfs/proj/nobackup/fs/projnb10/hpc2nstor2024-058/Sami_DAPseq/raw/CGDAPML250514/raw_data/Sample_JZ25137485-DAL1_1-DAL1_1/JZ25137485-DAL1_1-DAL1_1_combined_R1.fastq.gz,/pfs/proj/nobackup/fs/projnb10/hpc2nstor2024-058/Sami_DAPseq/raw/CGDAPML250514/raw_data/Sample_JZ25137485-DAL1_1-DAL1_1/JZ25137485-DAL1_1-DAL1_1_combined_R2.fastq.gz
DAL1_2,tf,/pfs/proj/nobackup/fs/projnb10/hpc2nstor2024-058/Sami_DAPseq/raw/CGDAPML250514/raw_data/Sample_JZ25137486-DAL1_2-DAL1_2/JZ25137486-DAL1_2-DAL1_2_combined_R1.fastq.gz,/pfs/proj/nobackup/fs/projnb10/hpc2nstor2024-058/Sami_DAPseq/raw/CGDAPML250514/raw_data/Sample_JZ25137486-DAL1_2-DAL1_2/JZ25137486-DAL1_2-DAL1_2_combined_R2.fastq.gz
DAL1_Input,input,/pfs/proj/nobackup/fs/projnb10/hpc2nstor2024-058/Sami_DAPseq/raw/CGDAPML250514/raw_data/Sample_JZ25143889-DAL1_Input-DAL1_Input/JZ25143889-DAL1_Input-DAL1_Input_combined_R1.fastq.gz,/pfs/proj/nobackup/fs/projnb10/hpc2nstor2024-058/Sami_DAPseq/raw/CGDAPML250514/raw_data/Sample_JZ25143889-DAL1_Input-DAL1_Input/JZ25143889-DAL1_Input-DAL1_Input_combined_R2.fastq.gz
