sample,role,fastq_1,fastq_2
SPL1_1,tf,/pfs/proj/nobackup/fs/projnb10/hpc2nstor2024-058/Sami_DAPseq/raw/CGDAPML250514_SPL1/raw_data/Sample_JZ25141633-SPL1_1-SPL1_1/JZ25141633-SPL1_1-SPL1_1_combined_R1.fastq.gz,/pfs/proj/nobackup/fs/projnb10/hpc2nstor2024-058/Sami_DAPseq/raw/CGDAPML250514_SPL1/raw_data/Sample_JZ25141633-SPL1_1-SPL1_1/JZ25141633-SPL1_1-SPL1_1_combined_R2.fastq.gz
SPL1_2,tf,/pfs/proj/nobackup/fs/projnb10/hpc2nstor2024-058/Sami_DAPseq/raw/CGDAPML250514_SPL1/raw_data/Sample_JZ25141634-SPL1_2-SPL1_2/JZ25141634-SPL1_2-SPL1_2_combined_R1.fastq.gz,/pfs/proj/nobackup/fs/projnb10/hpc2nstor2024-058/Sami_DAPseq/raw/CGDAPML250514_SPL1/raw_data/Sample_JZ25141634-SPL1_2-SPL1_2/JZ25141634-SPL1_2-SPL1_2_combined_R2.fastq.gz
Input1,input,/pfs/proj/nobackup/fs/projnb10/hpc2nstor2024-058/Sami_DAPseq/raw/CGDAPML250514_SPL1/raw_data/Sample_JZ25141639-SPL1_Input-SPL1_Input/JZ25141639-SPL1_Input-SPL1_Input_combined_R1.fastq.gz,/pfs/proj/nobackup/fs/projnb10/hpc2nstor2024-058/Sami_DAPseq/raw/CGDAPML250514_SPL1/raw_data/Sample_JZ25141639-SPL1_Input-SPL1_Input/JZ25141639-SPL1_Input-SPL1_Input_combined_R2.fastq.gz
Input2,input,/pfs/proj/nobackup/fs/projnb10/hpc2nstor2024-058/Sami_DAPseq/raw/CGDAPML250514/raw_data/Sample_JZ25143889-DAL1_Input-DAL1_Input/JZ25143889-DAL1_Input-DAL1_Input_combined_R1.fastq.gz,/pfs/proj/nobackup/fs/projnb10/hpc2nstor2024-058/Sami_DAPseq/raw/CGDAPML250514/raw_data/Sample_JZ25143889-DAL1_Input-DAL1_Input/JZ25143889-DAL1_Input-DAL1_Input_combined_R2.fastq.gz
